2021-12-15 21:08:05,167:INFO: model = topk_10_mfbesvd_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 4.165641; recall_one = 0.664238; hr_one = 0.664238; ndcg_one = 0.409656
2021-12-15 21:08:07,111:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 0.238710; test: logloss_one = 0.430341; recall_one = 0.581954; hr_one = 0.581954; ndcg_one = 0.329639
2021-12-15 21:08:36,610:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.095695; hr_one = 0.095695; ndcg_one = 0.042798
2021-12-15 21:08:45,310:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 6; train_loss = 0.080569; test: logloss_one = 3.415199; recall_one = 0.467219; hr_one = 0.467219; ndcg_one = 0.258435
2021-12-15 21:08:47,620:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 4.115987; test: logloss_one = 0.520920; recall_one = 0.448179; hr_one = 0.448179; ndcg_one = 0.248455
2021-12-15 21:09:04,358:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 2.220364; test: logloss_one = 3.320317; recall_one = 0.671523; hr_one = 0.671523; ndcg_one = 0.406266
2021-12-15 21:09:14,405:INFO: model = topk_10_mfbesvd_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 0.602896; test: logloss_one = 6.312881; recall_one = 0.482285; hr_one = 0.482285; ndcg_one = 0.272249
2021-12-15 21:09:14,580:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.203318; test: logloss_one = 3.486129; recall_one = 0.661093; hr_one = 0.661093; ndcg_one = 0.396011
2021-12-15 21:09:19,228:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 6; train_loss = 0.217497; test: logloss_one = 0.412055; recall_one = 0.601490; hr_one = 0.601490; ndcg_one = 0.344830
2021-12-15 21:09:51,381:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 2.890731; test: logloss_one = 0.650751; recall_one = 0.428642; hr_one = 0.428642; ndcg_one = 0.233053
2021-12-15 21:09:56,697:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 2.933554; test: logloss_one = 0.424305; recall_one = 0.513411; hr_one = 0.513411; ndcg_one = 0.289493
2021-12-15 21:09:59,870:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 7; train_loss = 0.077909; test: logloss_one = 3.341406; recall_one = 0.483113; hr_one = 0.483113; ndcg_one = 0.269220
2021-12-15 21:10:17,508:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 2.048393; test: logloss_one = 3.149602; recall_one = 0.695364; hr_one = 0.695364; ndcg_one = 0.422440
2021-12-15 21:10:24,513:INFO: model = topk_10_mfbesvd_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.134144; test: logloss_one = 4.977180; recall_one = 0.481126; hr_one = 0.481126; ndcg_one = 0.275796
2021-12-15 21:10:25,120:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 0.169917; test: logloss_one = 3.393126; recall_one = 0.679636; hr_one = 0.679636; ndcg_one = 0.410241
2021-12-15 21:10:27,836:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 7; train_loss = 0.202109; test: logloss_one = 0.400389; recall_one = 0.618046; hr_one = 0.618046; ndcg_one = 0.354371
2021-12-15 21:10:43,911:INFO: model = topk_10_mfmbe_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.092881; hr_one = 0.092881; ndcg_one = 0.042999
2021-12-15 21:11:05,299:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 2.675552; test: logloss_one = 0.358762; recall_one = 0.565728; hr_one = 0.565728; ndcg_one = 0.321803
2021-12-15 21:11:06,100:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.753894; test: logloss_one = 0.594295; recall_one = 0.453146; hr_one = 0.453146; ndcg_one = 0.252570
2021-12-15 21:11:14,772:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 8; train_loss = 0.075388; test: logloss_one = 3.289297; recall_one = 0.498179; hr_one = 0.498179; ndcg_one = 0.278467
2021-12-15 21:11:31,969:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 6; train_loss = 1.909862; test: logloss_one = 3.004131; recall_one = 0.707781; hr_one = 0.707781; ndcg_one = 0.436055
2021-12-15 21:11:33,337:INFO: model = topk_10_mfbesvd_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.096359; test: logloss_one = 4.090273; recall_one = 0.508940; hr_one = 0.508940; ndcg_one = 0.289418
2021-12-15 21:11:36,835:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 6; train_loss = 0.149762; test: logloss_one = 3.275537; recall_one = 0.698013; hr_one = 0.698013; ndcg_one = 0.422605
2021-12-15 21:11:38,669:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 8; train_loss = 0.189821; test: logloss_one = 0.392470; recall_one = 0.630629; hr_one = 0.630629; ndcg_one = 0.364286
2021-12-15 21:12:01,161:INFO: model = topk_10_mfmbe_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 7.862186; test: logloss_one = 0.681508; recall_one = 0.433444; hr_one = 0.433444; ndcg_one = 0.236651
2021-12-15 21:12:14,334:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 2.497073; test: logloss_one = 0.319991; recall_one = 0.599834; hr_one = 0.599834; ndcg_one = 0.344466
2021-12-15 21:12:21,697:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.398941; test: logloss_one = 0.553789; recall_one = 0.471192; hr_one = 0.471192; ndcg_one = 0.264635
2021-12-15 21:12:29,614:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 9; train_loss = 0.072834; test: logloss_one = 3.221959; recall_one = 0.525828; hr_one = 0.525828; ndcg_one = 0.295154
2021-12-15 21:12:43,676:INFO: model = topk_10_mfbesvd_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.080336; test: logloss_one = 3.617243; recall_one = 0.547185; hr_one = 0.547185; ndcg_one = 0.311684
2021-12-15 21:12:45,929:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 7; train_loss = 1.792024; test: logloss_one = 2.889555; recall_one = 0.718377; hr_one = 0.718377; ndcg_one = 0.445331
2021-12-15 21:12:48,735:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 9; train_loss = 0.181516; test: logloss_one = 0.387534; recall_one = 0.640728; hr_one = 0.640728; ndcg_one = 0.371438
2021-12-15 21:12:49,364:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 7; train_loss = 0.134506; test: logloss_one = 3.161784; recall_one = 0.712086; hr_one = 0.712086; ndcg_one = 0.433357
2021-12-15 21:13:16,141:INFO: model = topk_10_mfmbe_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 3.624702; test: logloss_one = 0.499596; recall_one = 0.464073; hr_one = 0.464073; ndcg_one = 0.260399
2021-12-15 21:13:23,382:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 6; train_loss = 2.358676; test: logloss_one = 0.295190; recall_one = 0.620033; hr_one = 0.620033; ndcg_one = 0.361385
