2021-12-16 09:35:33,817:INFO: model = topk_10_mf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 1.595382; test: logloss_one = 0.041912; recall_one = 0.865403; hr_one = 0.865403; ndcg_one = 0.541115
2021-12-16 09:35:38,368:INFO: model = topk_10_mf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.089699; test: logloss_one = 3.670101; recall_one = 0.269864; hr_one = 0.269864; ndcg_one = 0.138034
2021-12-16 09:35:39,281:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.356998; test: logloss_one = 0.102167; recall_one = 0.799971; hr_one = 0.799971; ndcg_one = 0.480575
2021-12-16 09:35:40,213:INFO: model = topk_10_mfmbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 2.657429; test: logloss_one = 0.084344; recall_one = 0.817838; hr_one = 0.817838; ndcg_one = 0.497366
2021-12-16 09:35:41,069:INFO: model = topk_10_mf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.096015; test: logloss_one = 0.041731; recall_one = 0.857684; hr_one = 0.857684; ndcg_one = 0.531403
2021-12-16 09:35:43,220:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 2.654559; test: logloss_one = 2.489879; recall_one = 0.845163; hr_one = 0.845163; ndcg_one = 0.535939
2021-12-16 09:35:43,817:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.519351; test: logloss_one = 0.196865; recall_one = 0.781217; hr_one = 0.781217; ndcg_one = 0.463272
2021-12-16 09:35:46,887:INFO: model = topk_10_mfmbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.107055; test: logloss_one = 4.067108; recall_one = 0.269049; hr_one = 0.269049; ndcg_one = 0.137608
2021-12-16 09:35:47,332:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 3.288873; test: logloss_one = 0.175234; recall_one = 0.768786; hr_one = 0.768786; ndcg_one = 0.459792
2021-12-16 09:35:50,872:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.116043; test: logloss_one = 4.074071; recall_one = 0.268469; hr_one = 0.268469; ndcg_one = 0.136813
2021-12-16 09:36:24,143:INFO: model = topk_10_nmf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.065095; test: logloss_one = 0.013456; recall_one = 0.871818; hr_one = 0.871818; ndcg_one = 0.548111
2021-12-16 09:36:35,581:INFO: model = topk_10_nmf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 1.344789; test: logloss_one = 0.015728; recall_one = 0.874246; hr_one = 0.874246; ndcg_one = 0.558755
2021-12-16 09:36:56,843:INFO: model = topk_10_mfg_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.069343; test: logloss_one = 2.468175; recall_one = 0.761212; hr_one = 0.761212; ndcg_one = 0.454117
2021-12-16 09:36:58,139:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.320957; test: logloss_one = 2.314621; recall_one = 0.841031; hr_one = 0.841031; ndcg_one = 0.533073
2021-12-16 09:37:04,323:INFO: model = topk_10_nmf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.043380; test: logloss_one = 1.988619; recall_one = 0.873140; hr_one = 0.873140; ndcg_one = 0.562847
